country_code,country,year,fertility_rate,life_expectancy,size
SYC,Seychelles,2010,2.16,73.1975609756098,89770
SYC,Seychelles,2015,2.31,74.2951219512195,93419
SYC,Seychelles,2020,2.29,77.2365853658537,98462
SYR,Syrian Arab Republic,2010,3.404,73.881,22337563
SYR,Syrian Arab Republic,2015,3.049,65.124,19205178
SYR,Syrian Arab Republic,2020,2.798,72.14,20772595
TCA,Turks and Caicos Islands,2010,1.686,76.243,29726
TCA,Turks and Caicos Islands,2015,1.67,76.912,36538
TCA,Turks and Caicos Islands,2020,1.679,75.001,44276
TCD,Chad,2010,6.99,49.584,11894727
TCD,Chad,2015,6.706,51.589,14140274
TCD,Chad,2020,6.346,52.777,16644701
TGO,Togo,2010,5.007,57.304,6571855
TGO,Togo,2015,4.594,59.396,7473229
TGO,Togo,2020,4.323,61.035,8442580
THA,Thailand,2010,1.576,76.131,68270489
THA,Thailand,2015,1.469,77.717,70294397
THA,Thailand,2020,1.341,79.274,71475664
TJK,Tajikistan,2010,3.457,67.742,7621779
TJK,Tajikistan,2015,3.459,69.306,8524063
TJK,Tajikistan,2020,3.237,67.994,9543207
TKM,Turkmenistan,2010,2.833,68.293,5267970
TKM,Turkmenistan,2015,2.93,68.782,5766431
TKM,Turkmenistan,2020,2.701,68.687,6250438
TLS,Timor-Leste,2010,4.845,65.304,1088486
TLS,Timor-Leste,2015,3.903,67.137,1205813
TLS,Timor-Leste,2020,3.247,68.475,1299995
TON,Tonga,2010,3.889,70.323,107383
TON,Tonga,2015,3.562,70.607,106122
TON,Tonga,2020,3.267,70.928,105254
TTO,Trinidad and Tobago,2010,1.701,72.725,1410296
TTO,Trinidad and Tobago,2015,1.682,74.503,1460177
TTO,Trinidad and Tobago,2020,1.631,74.406,1518147
TUN,Tunisia,2010,2.105,75.421,10895063
TUN,Tunisia,2015,2.251,75.692,11557779
TUN,Tunisia,2020,2.114,75.292,12161723
TUR,Turkiye,2010,2.137,75.069,73142150
TUR,Turkiye,2015,2.194,76.646,78218479
TUR,Turkiye,2020,1.917,75.85,83384680
TUV,Tuvalu,2010,3.49,63.978,10550
TUV,Tuvalu,2015,3.217,64.06,10877
TUV,Tuvalu,2020,3.188,64.382,11069
TZA,Tanzania,2010,5.293,60.105,45110527
TZA,Tanzania,2015,5.088,64.651,52542823
TZA,Tanzania,2020,4.795,66.408,61704518
UGA,Uganda,2010,6.071,57.055,32341728
UGA,Uganda,2015,5.306,61.086,37477356
UGA,Uganda,2020,4.693,62.851,44404611
UKR,Ukraine,2010,1.443,70.2653658536586,45870741
UKR,Ukraine,2015,1.506,71.189512195122,45154036
UKR,Ukraine,2020,1.217,71.1851219512195,44132049
URY,Uruguay,2010,2.011,76.858,3352651
URY,Uruguay,2015,2.023,77.483,3402818
URY,Uruguay,2020,1.477,78.43,3429086
USA,United States,2010,1.931,78.5414634146342,309327143
USA,United States,2015,1.8435,78.690243902439,320738994
USA,United States,2020,1.6415,76.9804878048781,331511512
UZB,Uzbekistan,2010,2.342,69.235,28562400
UZB,Uzbekistan,2015,2.491,70.475,31298900
UZB,Uzbekistan,2020,2.904,70.331,34232050
VCT,St. Vincent and the Grenadines,2010,2.133,74.718,109308
VCT,St. Vincent and the Grenadines,2015,2.099,74.407,106482
VCT,St. Vincent and the Grenadines,2020,1.814,72.126,104632
VEN,"Venezuela, RB",2010,2.471,72.89,28715022
VEN,"Venezuela, RB",2015,2.34,73.006,30529716
VEN,"Venezuela, RB",2020,2.23,71.095,28490453
VGB,British Virgin Islands,2010,1.183,75.428,27556
VGB,British Virgin Islands,2015,1.186,75.675,29366
VGB,British Virgin Islands,2020,0.976,75.849,30910
VIR,Virgin Islands (U.S.),2010,2.3,77.8658536585366,108357
VIR,Virgin Islands (U.S.),2015,2.11,79.0170731707317,107712
VIR,Virgin Islands (U.S.),2020,2.03,79.819512195122,106290
VNM,Viet Nam,2010,1.895,73.513,87411012
VNM,Viet Nam,2015,1.951,73.876,92191398
VNM,Viet Nam,2020,1.955,75.378,96648685
VUT,Vanuatu,2010,4.15,69.617,245453
VUT,Vanuatu,2015,4.006,69.513,276438
VUT,Vanuatu,2020,3.778,70.299,311685
WSM,Samoa,2010,4.608,72.249,194672
WSM,Samoa,2015,4.357,72.515,203571
WSM,Samoa,2020,3.997,72.768,214929
XKX,Kosovo,2010,2.426,77.63,1775680
XKX,Kosovo,2015,1.751,78.922,1788196
XKX,Kosovo,2020,1.529,76.567,1790133
YEM,"Yemen, Rep.",2010,4.855,67.28,24743946
YEM,"Yemen, Rep.",2015,4.322,65.873,28516545
YEM,"Yemen, Rep.",2020,3.886,64.65,32284046
ZAF,South Africa,2010,2.445,58.899,51784921
ZAF,South Africa,2015,2.359,63.95,55876504
ZAF,South Africa,2020,2.401,65.252,58801927
ZMB,Zambia,2010,5.363,56.799,13792086
ZMB,Zambia,2015,4.793,61.208,16248230
ZMB,Zambia,2020,4.379,62.38,18927715
ZWE,Zimbabwe,2010,4.025,50.652,12839771
ZWE,Zimbabwe,2015,3.849,59.591,14154937
ZWE,Zimbabwe,2020,3.545,61.124,15669666
